Congressional District,state,Congressional District ID,Total Properties,FEMA Properties at Risk 2020 (total),FEMA Properties at Risk 2020 (pct),FS Properties at Risk 2020 (total),FS Properties at Risk 2020 (pct),FS Properties at Risk 2035 (total),FS Properties at Risk 2035 (pct),FS Properties at Risk 2050 (total),FS Properties at Risk 2050 (pct),"FS-FEMA Difference, 2020 (total)","FS-FEMA Difference, 2020 (pct)"
Congressional District 10,ga,1310,372854,8997,2.4,21650,5.8,22116,5.9,22583,6.1,12653,140.6
Congressional District 11,ga,1311,273031,4153,1.5,19896,7.3,20515,7.5,21134,7.7,15743,379.1
Congressional District 12,ga,1312,350391,13110,3.7,19032,5.4,19734,5.6,20435,5.8,5922,45.2
Congressional District 13,ga,1313,280228,4892,1.7,16045,5.7,16554,5.9,17063,6.1,11153,228
Congressional District 14,ga,1314,331282,11932,3.6,31395,9.5,31991,9.7,32587,9.8,19463,163.1
Congressional District 1,or,4101,323872,13831,4.3,31734,9.8,32998,10.2,34263,10.6,17903,129.4
Congressional District 2,or,4102,478295,18542,3.9,87671,18.3,89615,18.7,91559,19.1,69129,372.8
Congressional District 3,or,4103,293664,5653,1.9,29319,10,30374,10.3,31430,10.7,23666,418.6
Congressional District 4,or,4104,376940,31667,8.4,74462,19.8,76299,20.2,78136,20.7,42795,135.1
Congressional District 5,or,4105,340318,19031,5.6,44834,13.2,47019,13.8,49204,14.5,25803,135.6
Congressional District 1,va,5101,429571,21955,5.1,26388,6.1,29972,7,33555,7.8,4433,20.2
Congressional District 2,va,5102,281096,41030,14.6,42272,15,50227,17.9,58182,20.7,1242,3
Congressional District 3,va,5103,261969,21920,8.4,28509,10.9,34703,13.2,40897,15.6,6589,30.1
Congressional District 4,va,5104,326395,10961,3.4,19370,5.9,20645,6.3,21920,6.7,8409,76.7
Congressional District 5,va,5105,511151,8790,1.7,31954,6.3,32384,6.3,32813,6.4,23164,263.5
Congressional District 6,va,5106,433687,19728,4.5,54708,12.6,55580,12.8,56453,13,34980,177.3
Congressional District 7,va,5107,351202,4540,1.3,15900,4.5,16185,4.6,16470,4.7,11360,250.2
Congressional District 8,va,5108,165595,3045,1.8,10400,6.3,10820,6.5,11239,6.8,7355,241.5
Congressional District 9,va,5109,499001,24701,5,96909,19.4,97922,19.6,98935,19.8,72208,292.3
Congressional District 10,va,5110,301883,3244,1.1,11349,3.8,11703,3.9,12057,4,8105,249.8
Congressional District 11,va,5111,211545,2558,1.2,6686,3.2,6932,3.3,7179,3.4,4128,161.4
Congressional District 1,nj,3401,286872,11575,4,12096,4.2,14153,4.9,16210,5.7,521,4.5
Congressional District 2,nj,3402,513768,175343,34.1,140917,27.4,155302,30.2,169687,33,-34426,-19.6
Congressional District 3,nj,3403,492681,74029,15,85794,17.4,95353,19.4,104912,21.3,11765,15.9
Congressional District 4,nj,3404,313799,15753,5,18230,5.8,20481,6.5,22732,7.2,2477,15.7
Congressional District 5,nj,3405,285809,10248,3.6,21123,7.4,21647,7.6,22171,7.8,10875,106.1
Congressional District 6,nj,3406,244261,21175,8.7,16874,6.9,18530,7.6,20186,8.3,-4301,-20.3
Congressional District 7,nj,3407,274917,10663,3.9,19398,7.1,19836,7.2,20275,7.4,8735,81.9
Congressional District 8,nj,3408,146987,24007,16.3,10657,7.3,13732,9.3,16807,11.4,-13350,-55.6
Congressional District 9,nj,3409,184323,12760,6.9,14075,7.6,15215,8.3,16355,8.9,1315,10.3
Congressional District 10,nj,3410,163089,6468,4,11232,6.9,11782,7.2,12331,7.6,4764,73.7
Congressional District 11,nj,3411,263592,16949,6.4,20184,7.7,20694,7.9,21203,8,3235,19.1
Congressional District 12,nj,3412,284697,14573,5.1,14858,5.2,15509,5.4,16160,5.7,285,2
Congressional District 1,ny,3601,329954,21235,6.4,33042,10,36708,11.1,40373,12.2,11807,55.6
Congressional District 2,ny,3602,222314,18783,8.4,29615,13.3,33201,14.9,36787,16.5,10832,57.7
Congressional District 3,ny,3603,224375,3888,1.7,19002,8.5,19880,8.9,20758,9.3,15114,388.7
Congressional District 4,ny,3604,210387,35909,17.1,25919,12.3,39966,19,54012,25.7,-9990,-27.8
Congressional District 5,ny,3605,138001,8632,6.3,17444,12.6,19840,14.4,22236,16.1,8812,102.1
Congressional District 6,ny,3606,98918,209,0.2,8717,8.8,9100,9.2,9483,9.6,8508,4070.8
Congressional District 7,ny,3607,64876,866,1.3,3779,5.8,4023,6.2,4267,6.6,2913,336.4
Congressional District 8,ny,3608,92602,4978,5.4,10786,11.6,12348,13.3,13909,15,5808,116.7
Congressional District 9,ny,3609,73490,971,1.3,5245,7.1,5666,7.7,6086,8.3,4274,440.2
Congressional District 10,ny,3610,46026,738,1.6,2155,4.7,2400,5.2,2646,5.7,1417,192
Congressional District 11,ny,3611,157435,8156,5.2,11423,7.3,12573,8,13723,8.7,3267,40.1
Congressional District 12,ny,3612,34987,1095,3.1,1452,4.2,1717,4.9,1982,5.7,357,32.6
Congressional District 13,ny,3613,17871,708,4,1649,9.2,1864,10.4,2079,11.6,941,132.9
Congressional District 14,ny,3614,74044,2783,3.8,7039,9.5,7538,10.2,8036,10.9,4256,152.9
Congressional District 15,ny,3615,31685,677,2.1,3339,10.5,3442,10.9,3545,11.2,2662,393.2
Congressional District 16,ny,3616,124886,3944,3.2,11164,8.9,11544,9.2,11923,9.5,7220,183.1
Congressional District 17,ny,3617,187742,5199,2.8,16188,8.6,16571,8.8,16954,9,10989,211.4
Congressional District 18,ny,3618,255439,9539,3.7,23024,9,23448,9.2,23872,9.3,13485,141.4
Congressional District 19,ny,3619,422551,19277,4.6,57709,13.7,58411,13.8,59113,14,38432,199.4
Congressional District 20,ny,3620,270318,7795,2.9,28747,10.6,29394,10.9,30042,11.1,20952,268.8
Congressional District 21,ny,3621,430758,16345,3.8,54714,12.7,55444,12.9,56173,13,38369,234.7
Congressional District 22,ny,3622,334318,16693,5,51542,15.4,52358,15.7,53173,15.9,34849,208.8
Congressional District 23,ny,3623,382792,16599,4.3,72266,18.9,72855,19,73444,19.2,55667,335.4
Congressional District 24,ny,3624,288327,12346,4.3,27646,9.6,28138,9.8,28631,9.9,15300,123.9
Congressional District 25,ny,3625,252190,4723,1.9,18529,7.3,18820,7.5,19110,7.6,13806,292.3
Congressional District 26,ny,3626,268704,4523,1.7,38792,14.4,39807,14.8,40822,15.2,34269,757.7
Congressional District 27,ny,3627,324011,12317,3.8,34576,10.7,35108,10.8,35639,11,22259,180.7
Congressional District 1,wa,5301,298028,18903,6.3,40007,13.4,40966,13.7,41926,14.1,21104,111.6
Congressional District 2,wa,5302,275253,17105,6.2,22875,8.3,23782,8.6,24689,9,5770,33.7
Congressional District 3,wa,5303,350308,15881,4.5,51496,14.7,53024,15.1,54551,15.6,35615,224.3
Congressional District 4,wa,5304,350211,11644,3.3,47643,13.6,48916,14,50189,14.3,35999,309.2
Congressional District 5,wa,5305,351205,7979,2.3,50410,14.4,51980,14.8,53549,15.2,42431,531.8
Congressional District 6,wa,5306,399577,23739,5.9,46547,11.6,48042,12,49538,12.4,22808,96.1
Congressional District 7,wa,5307,211316,1329,0.6,9617,4.6,10168,4.8,10718,5.1,8288,623.6
Congressional District 8,wa,5308,310706,12033,3.9,47680,15.3,48728,15.7,49775,16,35647,296.2
Congressional District 9,wa,5309,193110,1331,0.7,14278,7.4,14771,7.6,15264,7.9,12947,972.7
Congressional District 10,wa,5310,257832,5361,2.1,32059,12.4,33141,12.9,34223,13.3,26698,498
Congressional District 1,nc,3701,396203,15808,4,25389,6.4,27052,6.8,28714,7.2,9581,60.6
Congressional District 2,nc,3702,410071,7388,1.8,18523,4.5,18995,4.6,19467,4.7,11135,150.7
Congressional District 3,nc,3703,501712,127179,25.3,128495,25.6,148514,29.6,168534,33.6,1316,1
Congressional District 4,nc,3704,271635,3525,1.3,13720,5.1,14306,5.3,14892,5.5,10195,289.2
Congressional District 5,nc,3705,460423,8055,1.7,43665,9.5,44269,9.6,44873,9.7,35610,442.1
Congressional District 6,nc,3706,392868,5015,1.3,19608,5,20049,5.1,20490,5.2,14593,291
Congressional District 7,nc,3707,528155,59022,11.2,83503,15.8,87592,16.6,91681,17.4,24481,41.5
Congressional District 8,nc,3708,394750,6723,1.7,23985,6.1,24755,6.3,25525,6.5,17262,256.8
Congressional District 9,nc,3709,386855,12036,3.1,29105,7.5,30125,7.8,31145,8.1,17069,141.8
Congressional District 10,nc,3710,426669,6656,1.6,30172,7.1,30846,7.2,31520,7.4,23516,353.3
Congressional District 11,nc,3711,553937,16354,3,89212,16.1,90322,16.3,91432,16.5,72858,445.5
Congressional District 12,nc,3712,277087,3425,1.2,14910,5.4,15490,5.6,16069,5.8,11485,335.3
Congressional District 13,nc,3713,367750,5668,1.5,18634,5.1,19142,5.2,19650,5.3,12966,228.8
Congressional District 4,nc,4504,1,0,0,0,0,0,0,0,0,0,
Congressional District 5,nc,4505,6,0,0,0,0,0,0,0,0,0,
Congressional District 1,ca,601,446629,27151,6.1,62597,14,64116,14.4,65634,14.7,35446,130.6
Congressional District 2,ca,602,347523,30215,8.7,53773,15.5,54924,15.8,56075,16.1,23558,78
Congressional District 3,ca,603,287750,30707,10.7,50212,17.4,51664,18,53117,18.5,19505,63.5
Congressional District 4,ca,604,445670,7188,1.6,28961,6.5,29351,6.6,29741,6.7,21773,302.9
Congressional District 5,ca,605,254844,9943,3.9,37303,14.6,38242,15,39182,15.4,27360,275.2
Congressional District 6,ca,606,212198,33048,15.6,9499,4.5,10016,4.7,10534,5,-23549,-71.3
Congressional District 7,ca,607,238954,3068,1.3,9664,4,10330,4.3,10996,4.6,6596,215
Congressional District 8,ca,608,472650,16141,3.4,38214,8.1,38448,8.1,38681,8.2,22073,136.8
Congressional District 9,ca,609,242097,12949,5.3,21046,8.7,22100,9.1,23154,9.6,8097,62.5
Congressional District 10,ca,610,229735,4359,1.9,37956,16.5,39820,17.3,41684,18.1,33597,770.8
Congressional District 11,ca,611,232348,5902,2.5,18630,8,19067,8.2,19504,8.4,12728,215.7
Congressional District 12,ca,612,130921,0,0,3844,2.9,3846,2.9,3847,2.9,3844,Inf
Congressional District 13,ca,613,176685,4693,2.7,15529,8.8,15781,8.9,16033,9.1,10836,230.9
Congressional District 14,ca,614,184421,8281,4.5,21828,11.8,26248,14.2,30668,16.6,13547,163.6
Congressional District 15,ca,615,204542,4290,2.1,19474,9.5,20470,10,21467,10.5,15184,353.9
Congressional District 16,ca,616,209203,23036,11,56247,26.9,59206,28.3,62165,29.7,33211,144.2
Congressional District 17,ca,617,177974,13812,7.8,13190,7.4,13494,7.6,13799,7.8,-622,-4.5
Congressional District 18,ca,618,221260,10968,5,27900,12.6,28354,12.8,28808,13,16932,154.4
Congressional District 19,ca,619,174051,11492,6.6,18131,10.4,18501,10.6,18871,10.8,6639,57.8
Congressional District 20,ca,620,213770,11951,5.6,19378,9.1,19802,9.3,20225,9.5,7427,62.1
Congressional District 21,ca,621,220511,20142,9.1,13079,5.9,13502,6.1,13924,6.3,-7063,-35.1
Congressional District 22,ca,622,244987,20962,8.6,39046,15.9,40408,16.5,41769,17,18084,86.3
Congressional District 23,ca,623,393294,25209,6.4,29456,7.5,30190,7.7,30924,7.9,4247,16.8
Congressional District 24,ca,624,266185,12032,4.5,29624,11.1,29760,11.2,29895,11.2,17592,146.2
Congressional District 25,ca,625,264934,15785,6,25948,9.8,26374,10,26801,10.1,10163,64.4
Congressional District 26,ca,626,210505,8448,4,25154,11.9,25243,12,25332,12,16706,197.8
Congressional District 27,ca,627,175582,37,0,18345,10.4,18522,10.5,18698,10.6,18308,49481.1
Congressional District 28,ca,628,149160,967,0.6,18640,12.5,18792,12.6,18943,12.7,17673,1827.6
Congressional District 29,ca,629,107788,341,0.3,22700,21.1,23083,21.4,23466,21.8,22359,6556.9
Congressional District 30,ca,630,165615,305,0.2,19777,11.9,20178,12.2,20580,12.4,19472,6384.3
Congressional District 31,ca,631,197498,3323,1.7,23227,11.8,23328,11.8,23430,11.9,19904,599
Congressional District 32,ca,632,151956,95,0.1,18831,12.4,19058,12.5,19285,12.7,18736,19722.1
Congressional District 33,ca,633,181319,1613,0.9,16269,9,16448,9.1,16627,9.2,14656,908.6
Congressional District 34,ca,634,88255,643,0.7,7618,8.6,7676,8.7,7733,8.8,6975,1084.8
Congressional District 35,ca,635,172866,1269,0.7,10358,6,10443,6,10528,6.1,9089,716.2
Congressional District 36,ca,636,370105,19290,5.2,50742,13.7,50999,13.8,51256,13.8,31452,163
Congressional District 37,ca,637,127154,2508,2,12698,10,12894,10.1,13089,10.3,10190,406.3
Congressional District 38,ca,638,163753,309,0.2,9955,6.1,10256,6.3,10556,6.4,9646,3121.7
Congressional District 39,ca,639,183079,1176,0.6,8096,4.4,8135,4.4,8174,4.5,6920,588.4
Congressional District 40,ca,640,103511,81,0.1,5588,5.4,5725,5.5,5862,5.7,5507,6798.8
Congressional District 41,ca,641,196446,1926,1,13741,7,13867,7.1,13993,7.1,11815,613.4
Congressional District 42,ca,642,288287,5715,2,28920,10,28988,10.1,29057,10.1,23205,406
Congressional District 43,ca,643,128174,53,0,8664,6.8,8782,6.9,8900,6.9,8611,16247.2
Congressional District 44,ca,644,132340,308,0.2,6119,4.6,6372,4.8,6625,5,5811,1886.7
Congressional District 45,ca,645,178089,1188,0.7,9485,5.3,9488,5.3,9490,5.3,8297,698.4
Congressional District 46,ca,646,101398,2761,2.7,2987,2.9,3023,3,3059,3,226,8.2
Congressional District 47,ca,647,146457,7264,5,9418,6.4,10428,7.1,11437,7.8,2154,29.7
Congressional District 48,ca,648,175773,15820,9,9831,5.6,10252,5.8,10672,6.1,-5989,-37.9
Congressional District 49,ca,649,193689,4038,2.1,6126,3.2,6478,3.3,6831,3.5,2088,51.7
Congressional District 50,ca,650,208623,7353,3.5,15633,7.5,15682,7.5,15732,7.5,8280,112.6
Congressional District 51,ca,651,178011,5704,3.2,4159,2.3,4343,2.4,4527,2.5,-1545,-27.1
Congressional District 52,ca,652,165758,2211,1.3,3743,2.3,4777,2.9,5811,3.5,1532,69.3
Congressional District 53,ca,653,162542,827,0.5,3550,2.2,3582,2.2,3615,2.2,2723,329.3
Congressional District 1,ri,4401,171086,8689,5.1,10248,6,11093,6.5,11938,7,1559,17.9
Congressional District 2,ri,4402,211369,15231,7.2,16230,7.7,17330,8.2,18430,8.7,999,6.6
Congressional District 1,nh,3301,281338,14671,5.2,28500,10.1,29355,10.4,30210,10.7,13829,94.3
Congressional District 2,nh,3302,304005,14333,4.7,36407,12,37030,12.2,37654,12.4,22074,154
Congressional District 1,md,2401,370643,31650,8.5,44744,12.1,49703,13.4,54662,14.7,13094,41.4
Congressional District 2,md,2402,250508,5955,2.4,10853,4.3,11584,4.6,12315,4.9,4898,82.3
Congressional District 3,md,2403,239653,2433,1,10565,4.4,11083,4.6,11601,4.8,8132,334.2
Congressional District 4,md,2404,218672,2965,1.4,11245,5.1,11606,5.3,11968,5.5,8280,279.3
Congressional District 5,md,2405,301342,7811,2.6,16699,5.5,19120,6.3,21541,7.1,8888,113.8
Congressional District 6,md,2406,283934,4212,1.5,19434,6.8,19768,7,20103,7.1,15222,361.4
Congressional District 7,md,2407,257847,2007,0.8,9959,3.9,10290,4,10620,4.1,7952,396.2
Congressional District 8,md,2408,225003,1604,0.7,10183,4.5,10432,4.6,10680,4.7,8579,534.9
Congressional District 1,pa,4201,263601,8122,3.1,13385,5.1,13898,5.3,14410,5.5,5263,64.8
Congressional District 2,pa,4202,244525,715,0.3,14031,5.7,14998,6.1,15964,6.5,13316,1862.4
Congressional District 3,pa,4203,255691,453,0.2,14783,5.8,15636,6.1,16489,6.4,14330,3163.4
Congressional District 4,pa,4204,262236,5723,2.2,12289,4.7,12652,4.8,13015,5,6566,114.7
Congressional District 5,pa,4205,246196,5694,2.3,12653,5.1,13644,5.5,14636,5.9,6959,122.2
Congressional District 6,pa,4206,257152,4995,1.9,13539,5.3,13878,5.4,14216,5.5,8544,171.1
Congressional District 7,pa,4207,269901,6097,2.3,17879,6.6,18259,6.8,18639,6.9,11782,193.2
Congressional District 8,pa,4208,415962,13146,3.2,39298,9.4,40178,9.7,41058,9.9,26152,198.9
Congressional District 9,pa,4209,361285,16547,4.6,43079,11.9,43761,12.1,44443,12.3,26532,160.3
Congressional District 10,pa,4210,276831,9233,3.3,29351,10.6,29864,10.8,30378,11,20118,217.9
Congressional District 11,pa,4211,262638,4227,1.6,15587,5.9,15992,6.1,16398,6.2,11360,268.7
Congressional District 12,pa,4212,365921,33344,9.1,71171,19.4,72168,19.7,73164,20,37827,113.4
Congressional District 13,pa,4213,373821,21309,5.7,54814,14.7,55613,14.9,56412,15.1,33505,157.2
Congressional District 14,pa,4214,377773,14311,3.8,46716,12.4,47156,12.5,47595,12.6,32405,226.4
Congressional District 15,pa,4215,440296,24217,5.5,64959,14.8,65588,14.9,66217,15,40742,168.2
Congressional District 16,pa,4216,347876,12573,3.6,24426,7,24826,7.1,25225,7.3,11853,94.3
Congressional District 17,pa,4217,339442,8758,2.6,38655,11.4,39194,11.5,39734,11.7,29897,341.4
Congressional District 18,pa,4218,335282,4712,1.4,37974,11.3,38666,11.5,39357,11.7,33262,705.9
Congressional District (at Large),vt,5000,307657,13000,4.2,39720,12.9,40140,13,40561,13.2,26720,205.5
